user_id,email,first_name,last_name,gender,birthday,city,state,newsletter_sign_up_date,Age,Total_Lifetime_Value,Region
34,celia@gmail.com,Celia,Jickles,Female,5/27/64,Denton,Texas,,55,80,South Region
35,scotty@gmail.com,Scotty,Heathwood,Male,2/22/69,Bakersfield,California,9/21/16,51,100.8,West Region
36,andra@gmail.com,Andra,Penrith,Female,8/1/60,Vancouver,Washington,,59,56,West Region
37,lorin@gmail.com,Lorin,Rivitt,Male,7/14/63,Washington,District of Columbia,6/5/18,56,450,South Region
38,ruthann@gmail.com,Ruthann,Briand,Female,7/27/86,Washington,District of Columbia,11/2/17,33,68.8,South Region
39,thorin@gmail.com,Thorin,Claypool,Male,10/5/51,Humble,Texas,8/15/17,68,75.3,South Region
40,reginald@gmail.com,Reginald,Biagini,Male,7/7/77,Canton,Ohio,,42,20,Midwest Region
41,eduardo@gmail.com,Eduardo,Hartright,Male,4/17/85,Hialeah,Florida,5/29/18,35,107.5,South Region
42,warden@gmail.com,Warden,Grinston,Male,2/23/59,Fresno,California,,61,#N/A,West Region
43,granny@gmail.com,Granny,Nestoruk,Male,2/3/54,Portland,Oregon,,66,17,West Region
44,jaymee@gmail.com,Jaymee,Luce,Female,12/22/62,Norfolk,Virginia,7/15/18,57,20,South Region
45,eddie@gmail.com,Eddie,Tankus,Male,6/23/81,Charleston,West Virginia,6/15/18,38,566.1,South Region
46,nadeen@gmail.com,Nadeen,Benne,Female,2/26/63,Atlanta,Georgia,2/19/18,57,137.3,South Region
47,fernando@gmail.com,Fernando,Witten,Male,1/21/60,Anchorage,Alaska,8/29/16,60,#N/A,West Region
48,freeman@gmail.com,Freeman,Hewertson,Male,10/27/55,Spartanburg,South Carolina,1/7/18,64,105.3,South Region
49,mattie@gmail.com,Mattie,Foggo,Female,10/31/71,Crawfordsville,Indiana,,48,20,Midwest Region
50,hadlee@gmail.com,Hadlee,Buxey,Male,1/14/80,Hartford,Connecticut,,40,95.2,Northeast Region
51,myer@gmail.com,Myer,Dessant,Male,12/17/87,North Little Rock,Arkansas,8/17/16,32,50,South Region
52,lydia@gmail.com,Lydia,Raynor,Female,3/8/74,Saint Petersburg,Florida,,46,540.2,South Region
53,bernadette@gmail.com,Bernadette,Petegree,Female,1/12/72,Houston,Texas,4/11/17,48,420,South Region
54,dasi@gmail.com,Dasi,Shallo,Female,1/26/74,Phoenix,Arizona,4/15/18,46,16.4,West Region
55,oran@gmail.com,Oran,Wingeatt,Male,8/29/79,Scranton,Pennsylvania,6/13/18,40,89.2,Northeast Region
56,natasha@gmail.com,Natasha,Klimentyonok,Female,11/5/69,Pittsburgh,Pennsylvania,3/14/17,50,207.6,Northeast Region
57,steffen@gmail.com,Steffen,ducarme,Male,11/19/73,Corpus Christi,Texas,9/9/17,46,85,South Region
58,orelle@gmail.com,Orelle,Eddisford,Female,8/14/81,New York City,New York,,38,75.9,Northeast Region
59,cleavland@gmail.com,Cleavland,Bigmore,Male,8/26/59,Birmingham,Alabama,,60,106,South Region
60,marcela@gmail.com,Marcela,Bottrell,Female,6/30/59,Washington,District of Columbia,9/17/17,60,#N/A,South Region
61,al@gmail.com,Al,Snodden,Male,10/15/71,Provo,Utah,12/22/16,48,113,West Region
62,shelton@gmail.com,Shelton,Kelling,Male,11/28/55,Richmond,Virginia,6/22/17,64,88.4,South Region
63,felice@gmail.com,Felice,McAlester,Male,,Los Angeles,California,,,110,West Region
64,jules@gmail.com,Jules,Altham,Male,10/6/74,Philadelphia,Pennsylvania,1/30/17,45,37.2,Northeast Region
65,penn@gmail.com,Penn,Arunowicz,Male,10/20/57,Saint Paul,Minnesota,6/30/18,62,64.8,Midwest Region
66,rhianna@gmail.com,Rhianna,Stote,Female,2/15/65,Boston,Massachusetts,7/5/18,55,#N/A,Northeast Region
67,terra@gmail.com,Terra,De Fries,Female,1/12/62,Denver,Colorado,,58,#N/A,West Region
68,pearce@gmail.com,Pearce,Chettoe,Male,12/3/50,Fort Pierce,Florida,3/26/18,69,#N/A,South Region
69,reg@gmail.com,Reg,Savidge,Male,12/27/72,San Francisco,California,2/12/18,47,463,West Region
70,vinny@gmail.com,Vinny,MacCallister,Female,4/24/83,Memphis,Tennessee,,37,347.5,South Region
71,arch@gmail.com,Arch,Stockney,Male,3/14/87,Saint Paul,Minnesota,11/9/17,33,16.4,Midwest Region
72,kakalina@gmail.com,Kakalina,Emanuel,Female,11/2/54,Reston,Virginia,10/29/16,65,518,South Region
73,alphonse@gmail.com,Alphonse,Swanton,Male,9/5/52,Long Beach,California,,67,80,West Region
74,kingston@gmail.com,Kingston,Syms,Male,11/25/87,Washington,District of Columbia,,32,419.5,South Region
75,tobit@gmail.com,Tobit,Ciccarello,Male,10/9/60,Arlington,Texas,,59,20,South Region
76,stewart@gmail.com,Stewart,Writtle,Male,8/31/50,Buffalo,New York,2/27/17,69,#N/A,Northeast Region
77,tybie@gmail.com,Tybie,Hazelden,Female,1/18/72,Atlanta,Georgia,,48,20,South Region
78,jillane@gmail.com,Jillane,Cheak,Female,9/3/53,Bradenton,Florida,1/30/17,66,115.4,South Region
79,della@gmail.com,Della,Spybey,Female,9/13/55,Nashville,Tennessee,11/11/17,64,130.9,South Region
80,nobie@gmail.com,Nobie,Reddyhoff,Male,7/1/57,Las Vegas,Nevada,,62,451.6,West Region
81,fulvia@gmail.com,Fulvia,Withinshaw,Female,7/31/79,Wilmington,Delaware,,40,140,South Region
82,tessi@gmail.com,Tessi,Sacks,Female,2/21/61,Orange,California,9/9/17,59,52.5,West Region
83,xylina@gmail.com,Xylina,Laxen,Female,10/19/66,Stockton,California,9/2/16,53,20,West Region
84,beryle@gmail.com,Beryle,Gabler,Female,6/4/88,Washington,District of Columbia,6/12/18,31,79.6,South Region
85,carlen@gmail.com,Carlen,Pach,Female,9/15/78,Youngstown,Ohio,,41,73.95,Midwest Region
86,morgen@gmail.com,Morgen,Kaas,Male,11/10/65,Idaho Falls,Idaho,,54,215.5,West Region
87,urban@gmail.com,Urban,Dowd,Male,3/6/73,Atlanta,Georgia,7/24/17,47,162.5,South Region
88,byram@gmail.com,Byram,Tipton,Male,1/22/54,Arvada,Colorado,3/26/17,66,506.1,West Region
89,jules@gmail.com,Jules,Marfell,Male,12/8/78,Springfield,Massachusetts,,41,60.2,Northeast Region
90,sidoney@gmail.com,Sidoney,Acres,Female,6/11/57,Saint Louis,Missouri,9/21/17,62,110.4,Midwest Region
91,lindy@gmail.com,Lindy,Narup,Male,4/23/60,Indianapolis,Indiana,9/10/16,60,64,Midwest Region
92,josie@gmail.com,Josie,Pallent,Female,11/10/65,Midland,Texas,,54,427.2,South Region
93,poul@gmail.com,Poul,Blondel,Male,9/26/53,Erie,Pennsylvania,,66,100,Northeast Region
94,vannie@gmail.com,Vannie,Caroll,Female,10/19/51,Fresno,California,2/27/17,68,193.2,West Region
95,chaunce@gmail.com,Chaunce,Croisier,Male,7/29/62,San Antonio,Texas,1/6/17,57,179.5,South Region
96,olenolin@gmail.com,Olenolin,Bridie,Male,5/11/87,Lexington,Kentucky,1/29/17,33,362.1,South Region
97,bordy@gmail.com,Bordy,Gatsby,Male,11/3/82,Saint Paul,Minnesota,4/16/18,37,7.05,Midwest Region
98,gizela@gmail.com,Gizela,Shotter,Female,5/13/52,Anchorage,Alaska,12/28/17,68,470,West Region
99,keir@gmail.com,Keir,Mixture,Male,3/13/81,Augusta,Georgia,,39,70,South Region
100,krystle@gmail.com,Krystle,Straneo,Female,2/4/51,Austin,Texas,1/27/17,69,20,South Region
101,minda@gmail.com,Minda,Wilcock,Female,9/23/50,Akron,Ohio,6/4/17,69,130.9,Midwest Region
102,kris@gmail.com,Kris,MacAlaster,Male,10/9/59,Boston,Massachusetts,2/27/17,60,100.9,Northeast Region
103,petrina@gmail.com,Petrina,Steade,Female,10/19/69,Littleton,Colorado,11/13/17,50,64,West Region
104,ernest@gmail.com,Ernest,Adelberg,Male,8/21/54,Washington,District of Columbia,,65,#N/A,South Region
105,cullin@gmail.com,Cullin,Maydway,Male,5/4/53,Austin,Texas,10/18/17,67,70,South Region
106,jonathan@gmail.com,Jonathan,Marchington,Male,2/3/52,Jacksonville,Florida,,68,134.8,South Region
107,barthel@gmail.com,Barthel,Kennifeck,Male,8/17/71,Aurora,Colorado,,48,#N/A,West Region
108,evangelin@gmail.com,Evangelin,Paulet,Female,5/16/86,Indianapolis,Indiana,10/17/17,33,#N/A,Midwest Region
109,auguste@gmail.com,Auguste,Winckworth,Female,,San Antonio,Texas,,,559.5,South Region
110,thelma@gmail.com,Thelma,Mattke,Female,8/9/56,Jacksonville,Florida,4/25/17,63,20,South Region
111,berny@gmail.com,Berny,Arnoult,Male,3/7/87,Lexington,Kentucky,,33,131,South Region
112,blondy@gmail.com,Blondy,Polsin,Female,7/5/76,Charlotte,North Carolina,,43,131.1,South Region
113,rakel@gmail.com,Rakel,Filippyev,Female,5/24/64,Minneapolis,Minnesota,,55,70,Midwest Region
114,ryan@gmail.com,Ryan,Allain,Male,9/11/52,Montgomery,Alabama,10/14/17,67,417.4,South Region
115,cassondra@gmail.com,Cassondra,Corton,Female,10/27/59,Chicago,Illinois,6/23/18,60,215,Midwest Region
116,ronny@gmail.com,Ronny,Bedells,Male,1/26/68,Los Angeles,California,5/21/18,52,203.2,West Region
117,coral@gmail.com,Coral,Lello,Female,,Minneapolis,Minnesota,5/14/18,,57.6,Midwest Region
118,kaja@gmail.com,Kaja,Dreossi,Female,1/11/60,Las Vegas,Nevada,7/8/18,60,48.5,West Region
119,jerrine@gmail.com,Jerrine,Acuna,Female,4/5/82,East Saint Louis,Illinois,8/9/18,38,53.9,Midwest Region
120,michel@gmail.com,Michel,Meneur,Male,10/30/54,Milwaukee,Wisconsin,,65,3.7,Midwest Region
121,morse@gmail.com,Morse,Canniffe,Male,9/8/82,Mobile,Alabama,11/5/17,37,14.4,South Region
122,cristy@gmail.com,Cristy,Beeson,Female,10/10/50,Raleigh,North Carolina,12/16/17,69,100,South Region
123,tybi@gmail.com,Tybi,Artois,Female,1/23/81,Waterbury,Connecticut,,39,191.8,Northeast Region
124,tracey@gmail.com,Tracey,Gibberd,Male,,Fort Wayne,Indiana,8/20/17,,579.35,Midwest Region
125,hayley@gmail.com,Hayley,Barribal,Female,5/6/66,Boca Raton,Florida,6/4/18,54,39,South Region
126,sigismund@gmail.com,Sigismund,Semple,Male,4/3/80,Evanston,Illinois,9/9/16,40,120,Midwest Region
127,manya@gmail.com,Manya,Allard,Female,1/9/87,Wichita,Kansas,,33,461.6,Midwest Region
128,salli@gmail.com,Salli,Debenham,Female,12/19/55,Newport News,Virginia,7/19/17,64,#N/A,South Region
129,helenka@gmail.com,Helenka,Limbourne,Female,1/23/52,Chicago,Illinois,,68,#N/A,Midwest Region
130,warner@gmail.com,Warner,Henryson,Male,4/10/69,Stamford,Connecticut,7/10/18,51,17,Northeast Region
131,findley@gmail.com,Findley,Maggorini,Male,12/2/73,Chicago,Illinois,7/28/17,46,200,Midwest Region
132,ninnetta@gmail.com,Ninnetta,Minnock,Female,1/15/85,New York City,New York,5/3/17,35,114.6,Northeast Region
133,devondra@gmail.com,Devondra,Carnow,Female,8/23/55,North Port,Florida,,64,737.6,South Region
134,elsbeth@gmail.com,Elsbeth,Kopelman,Female,8/1/59,Colorado Springs,Colorado,12/8/16,60,690.9,West Region
135,shane@gmail.com,Shane,Jeannenet,Female,7/11/84,Anaheim,California,11/12/16,35,73.6,West Region
136,philip@gmail.com,Philip,Grabb,Male,3/10/88,Waco,Texas,7/20/17,32,488.3,South Region
137,onida@gmail.com,Onida,Ferraro,Female,,Bethesda,Maryland,8/6/17,,252.2,South Region
138,zane@gmail.com,Zane,Spurway,Male,6/19/54,Fort Lauderdale,Florida,,65,90,South Region
139,rebeca@gmail.com,Rebeca,McGonigle,Female,5/8/62,Las Vegas,Nevada,9/23/17,58,100,West Region
140,angelle@gmail.com,Angelle,Poker,Female,5/2/57,Largo,Florida,8/19/16,63,90,South Region
141,alfons@gmail.com,Alfons,Fettiplace,Male,4/8/89,Glendale,California,,31,#N/A,West Region
142,jerome@gmail.com,Jerome,Gayler,Male,10/7/78,Raleigh,North Carolina,11/7/17,41,20,South Region
143,carmine@gmail.com,Carmine,Loakes,Male,7/2/80,Providence,Rhode Island,,39,37.5,Northeast Region
144,gherardo@gmail.com,Gherardo,Kolczynski,Male,11/20/88,Dallas,Texas,5/20/18,31,122.9,South Region
145,chrystel@gmail.com,Chrystel,Heyns,Female,11/27/83,Jackson,Mississippi,12/16/17,36,55,South Region
146,carleton@gmail.com,Carleton,Gerrish,Male,12/9/89,Jackson,Mississippi,,30,814.6,South Region
147,saxe@gmail.com,Saxe,Thurstan,Male,10/19/73,Cleveland,Ohio,7/5/17,46,80,Midwest Region
148,herman@gmail.com,Herman,Goracci,Male,11/13/55,Baltimore,Maryland,6/20/18,64,#N/A,South Region
149,lynda@gmail.com,Lynda,Norquay,Female,1/21/56,Brockton,Massachusetts,3/29/17,64,156.4,Northeast Region
150,chandal@gmail.com,Chandal,Warbrick,Female,7/19/51,San Francisco,California,2/13/18,68,77.1,West Region
151,phoebe@gmail.com,Phoebe,Quig,Female,1/31/62,Lexington,Kentucky,3/7/18,58,23,South Region
152,alison@gmail.com,Alison,Ramsell,Female,7/24/78,Carol Stream,Illinois,10/25/16,41,#N/A,Midwest Region
153,pincas@gmail.com,Pincas,Fick,Male,,Reno,Nevada,,,72.5,West Region
154,bambi@gmail.com,Bambi,Robison,Female,1/18/52,Fort Lauderdale,Florida,10/31/16,68,70,South Region
155,tate@gmail.com,Tate,Rowlett,Male,11/1/74,Syracuse,New York,,45,95.95,Northeast Region
156,galvin@gmail.com,Galvin,Fitchew,Male,6/13/85,Saint Louis,Missouri,8/15/17,34,130.9,Midwest Region
157,lyndsie@gmail.com,Lyndsie,Martyntsev,Female,7/14/64,Columbia,Missouri,1/27/18,55,134.4,Midwest Region
158,yvor@gmail.com,Yvor,Bernardt,Male,11/25/70,Youngstown,Ohio,7/13/18,49,413.95,Midwest Region
159,fenelia@gmail.com,Fenelia,Silcox,Female,9/6/77,Austin,Texas,6/18/18,42,478,South Region
160,rosalinda@gmail.com,Rosalinda,Cluff,Female,5/6/52,Salt Lake City,Utah,6/7/17,68,3.6,West Region
161,carolina@gmail.com,Carolina,Cottrill,Female,1/9/62,Richmond,Virginia,1/29/18,58,#N/A,South Region
162,thom@gmail.com,Thom,Killford,Male,3/3/83,Miami,Florida,12/29/17,37,44.5,South Region
163,mord@gmail.com,Mord,Dovydenas,Male,3/16/62,South Lake Tahoe,California,9/20/16,58,49.7,West Region
164,melodee@gmail.com,Melodee,Scathard,Female,12/20/59,Corona,California,,60,875,West Region
165,montague@gmail.com,Montague,McAlinden,Male,10/27/77,Memphis,Tennessee,,42,499.8,South Region
166,corry@gmail.com,Corry,Rubert,Female,5/21/75,Rochester,New York,9/18/17,44,396,Northeast Region
167,renado@gmail.com,Renado,Howey,Male,10/24/69,San Antonio,Texas,2/26/17,50,70,South Region
168,dominique@gmail.com,Dominique,Mabe,Male,9/17/89,Fresno,California,8/14/17,30,228,West Region
169,alric@gmail.com,Alric,Kilbey,Male,9/20/80,Aurora,Colorado,1/29/18,39,#N/A,West Region
170,ange@gmail.com,Ange,Glowacki,Male,3/8/85,Portland,Oregon,2/10/17,35,72,West Region
171,zuzana@gmail.com,Zuzana,Blowes,Female,4/8/59,Galveston,Texas,1/25/18,61,#N/A,South Region
172,rosalynd@gmail.com,Rosalynd,Leroy,Female,5/27/53,Knoxville,Tennessee,,66,50,South Region
173,patrizia@gmail.com,Patrizia,Huckel,Female,9/3/87,Galveston,Texas,10/16/17,32,370,South Region
174,nickolai@gmail.com,Nickolai,Bradd,Male,1/8/80,Louisville,Kentucky,,40,58.1,South Region
175,jermayne@gmail.com,Jermayne,Stapylton,Male,5/18/80,Bakersfield,California,,39,20.8,West Region
176,harriette@gmail.com,Harriette,Measen,Female,11/22/62,Lehigh Acres,Florida,3/7/17,57,173.6,South Region
177,marris@gmail.com,Marris,Stubbes,Female,2/1/52,Shawnee Mission,Kansas,,68,120,Midwest Region
178,ana@gmail.com,Ana,Charlet,Female,7/13/52,Santa Cruz,California,,67,107.6,West Region
179,elane@gmail.com,Elane,Frankes,Female,11/6/77,Metairie,Louisiana,,42,154.85,South Region
180,caryl@gmail.com,Caryl,Casson,Female,5/22/75,Cincinnati,Ohio,5/28/18,44,15.8,Midwest Region
181,kellina@gmail.com,Kellina,Catonne,Female,12/5/80,Lansing,Michigan,6/3/18,39,15,Midwest Region
182,pierrette@gmail.com,Pierrette,Wards,Female,8/26/81,Des Moines,Iowa,,38,101.6,Midwest Region
183,bernhard@gmail.com,Bernhard,Elders,Male,8/13/52,Fargo,North Dakota,6/23/18,67,30.75,Midwest Region
184,luz@gmail.com,Luz,Koop,Female,9/20/57,Monticello,Minnesota,5/4/17,62,84.5,Midwest Region
185,brittney@gmail.com,Brittney,Spacey,Female,1/6/80,Lexington,Kentucky,1/12/17,40,130.2,South Region
186,gabbie@gmail.com,Gabbie,Leftridge,Male,8/23/64,Honolulu,Hawaii,,55,61.6,West Region
187,abbot@gmail.com,Abbot,Backs,Male,4/10/75,Denver,Colorado,1/6/18,45,51.8,West Region
188,dev@gmail.com,Dev,Revett,Male,8/4/56,Las Vegas,Nevada,,63,458.4,West Region
189,viv@gmail.com,Viv,Sandry,Female,2/23/83,Farmington,Michigan,,37,143.5,Midwest Region
190,osborn@gmail.com,Osborn,Percifer,Male,4/9/83,Washington,District of Columbia,11/24/17,37,14.6,South Region
191,allys@gmail.com,Allys,Yellowlea,Female,6/20/69,Plano,Texas,,50,95.6,South Region
192,davida@gmail.com,Davida,Joscelin,Female,6/26/86,Detroit,Michigan,10/18/16,33,113.8,Midwest Region
193,clint@gmail.com,Clint,Hazeldene,Male,1/7/79,Tacoma,Washington,,41,20,West Region
194,quinlan@gmail.com,Quinlan,I'anson,Male,4/18/59,Ashburn,Virginia,2/1/18,61,52.5,South Region
195,dennie@gmail.com,Dennie,Wardel,Female,9/15/63,Anniston,Alabama,,56,14.2,South Region
196,erv@gmail.com,Erv,Stebbins,Male,6/12/65,Jackson,Mississippi,3/25/17,54,403,South Region
197,donaugh@gmail.com,Donaugh,Brando,Male,8/24/88,Little Rock,Arkansas,,31,118.35,South Region
198,hetti@gmail.com,Hetti,Nunnery,Female,4/23/53,Washington,District of Columbia,5/19/18,67,#N/A,South Region
199,berri@gmail.com,Berri,Britten,Female,9/28/73,Fresno,California,6/29/17,46,60.9,West Region
200,thedric@gmail.com,Thedric,Loody,Male,10/8/65,Minneapolis,Minnesota,,54,497.4,Midwest Region
201,gauthier@gmail.com,Gauthier,Iuorio,Male,10/17/71,Tyler,Texas,3/5/18,48,75.9,South Region
202,sergei@gmail.com,Sergei,Denisyev,Male,3/26/89,Lexington,Kentucky,,31,113.5,South Region
203,jayme@gmail.com,Jayme,Jacobssen,Male,1/27/61,Metairie,Louisiana,5/31/17,59,180.4,South Region
204,kissee@gmail.com,Kissee,Sanney,Female,11/10/70,Washington,District of Columbia,1/29/18,49,323.6,South Region
205,gretchen@gmail.com,Gretchen,Helling,Female,7/17/66,Atlanta,Georgia,2/21/17,53,331.8,South Region
206,dido@gmail.com,Dido,Punyer,Female,11/26/59,San Francisco,California,6/29/17,60,#N/A,West Region
207,judah@gmail.com,Judah,Wyvill,Male,11/23/51,Marietta,Georgia,12/6/16,68,60.8,South Region
208,shepperd@gmail.com,Shepperd,Went,Male,6/22/84,Levittown,Pennsylvania,10/15/16,35,59.7,Northeast Region
209,andonis@gmail.com,Andonis,Points,Male,7/31/78,Los Angeles,California,4/10/17,41,14.2,West Region
210,thomasin@gmail.com,Thomasin,Glasspoole,Female,5/6/75,Washington,District of Columbia,,45,373.8,South Region
211,juliane@gmail.com,Juliane,Soames,Female,8/10/83,Corona,California,1/15/18,36,#N/A,West Region
212,duane@gmail.com,Duane,Skully,Male,1/22/69,Seattle,Washington,3/16/18,51,1217.2,West Region
213,branden@gmail.com,Branden,Pickavant,Male,3/15/87,Farmington,Michigan,2/18/17,33,132.4,Midwest Region
214,gilda@gmail.com,Gilda,Ralls,Female,7/22/65,Kansas City,Missouri,7/20/18,54,1432,Midwest Region
215,darcie@gmail.com,Darcie,Miklem,Female,7/2/85,Henderson,Nevada,3/21/17,34,112.5,West Region
216,marlow@gmail.com,Marlow,Stoke,Male,12/15/60,West Palm Beach,Florida,3/28/18,59,270.7,South Region
217,garrick@gmail.com,Garrick,Oxnam,Male,8/13/60,Brooklyn,New York,9/3/17,59,#N/A,Northeast Region
218,hobart@gmail.com,Hobart,Illyes,Male,8/4/70,Chicago,Illinois,12/8/17,49,#N/A,Midwest Region
219,lazaro@gmail.com,Lazaro,Hanwell,Male,11/3/71,Columbia,South Carolina,8/5/18,48,3.75,South Region
220,lilas@gmail.com,Lilas,Halms,Female,2/13/83,Phoenix,Arizona,5/3/17,37,500,West Region
221,charley@gmail.com,Charley,Biaggi,Male,,Denver,Colorado,9/22/17,,69.25,West Region
222,judie@gmail.com,Judie,Fandrey,Female,1/5/76,Washington,District of Columbia,,44,#N/A,South Region
223,ag@gmail.com,Ag,Bateman,Female,,Fort Worth,Texas,1/26/18,,15,South Region
224,susanna@gmail.com,Susanna,Shalliker,Female,12/16/50,Saint Louis,Missouri,10/25/17,69,50,Midwest Region
225,caesar@gmail.com,Caesar,Halloway,Male,3/28/55,Tacoma,Washington,,65,#N/A,West Region
226,dena@gmail.com,Dena,Feavearyear,Female,8/16/63,Pensacola,Florida,11/30/16,56,440,South Region
227,hailey@gmail.com,Hailey,Suddell,Male,11/3/56,Miami,Florida,9/13/17,63,70,South Region
228,anetta@gmail.com,Anetta,Camillo,Female,7/11/84,Milwaukee,Wisconsin,10/7/17,35,#N/A,Midwest Region
229,brinn@gmail.com,Brinn,McIleen,Female,,Saint Louis,Missouri,,,95.5,Midwest Region
230,gilbertine@gmail.com,Gilbertine,Beetles,Female,1/24/90,Amarillo,Texas,,30,#N/A,South Region
231,bartolomeo@gmail.com,Bartolomeo,Burch,Male,9/25/73,Saint Paul,Minnesota,5/12/18,46,#N/A,Midwest Region
232,matthaeus@gmail.com,Matthaeus,Forsey,Male,1/24/62,El Paso,Texas,8/12/18,58,51.1,South Region
233,dave@gmail.com,Dave,Chaudron,Male,9/11/74,Waterbury,Connecticut,6/25/17,45,442.2,Northeast Region
234,sidonnie@gmail.com,Sidonnie,Illwell,Female,10/20/67,New York City,New York,3/18/17,52,400,Northeast Region
235,julian@gmail.com,Julian,Siaspinski,Male,4/18/82,Punta Gorda,Florida,,38,#N/A,South Region
236,nathanael@gmail.com,Nathanael,Cracker,Male,2/4/67,Birmingham,Alabama,7/21/17,53,155,South Region
237,barbara@gmail.com,Barbara,Gut,Female,5/4/75,Los Angeles,California,,45,499.6,West Region
238,rozalin@gmail.com,Rozalin,Cuckoo,Female,5/25/69,Sacramento,California,,50,17.6,West Region
239,trudi@gmail.com,Trudi,Godlee,Female,7/16/52,Tucson,Arizona,11/30/17,67,300,West Region
240,lind@gmail.com,Lind,Goncaves,Female,9/12/77,Dallas,Texas,9/7/16,42,75.4,South Region
241,carmella@gmail.com,Carmella,Shirrell,Female,6/22/58,Atlanta,Georgia,,61,67.8,South Region
242,christal@gmail.com,Christal,Prestige,Female,10/5/86,Jefferson City,Missouri,5/1/18,33,397.6,Midwest Region
243,addia@gmail.com,Addia,Heckle,Female,4/22/66,Stockton,California,,54,484.8,West Region
244,roch@gmail.com,Roch,Bownas,Female,12/21/74,Katy,Texas,2/10/17,45,#N/A,South Region
245,tricia@gmail.com,Tricia,Lamond,Female,4/1/77,Lancaster,California,11/8/17,43,219,West Region
246,garrik@gmail.com,Garrik,Walklott,Male,5/18/71,Orlando,Florida,,49,#N/A,South Region
247,joyann@gmail.com,Joyann,Eckels,Female,12/15/85,Santa Barbara,California,10/10/17,34,#N/A,West Region
